attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-el-wind-onshore,Name of the bus
type,str,n/a,volatile,,Type
carrier,str,n/a,wind,,
tech,str,n/a,onshore,,
bus,str,n/a,,-el-bus,
capacity,,,,,
capacity_cost,,,,,
marginal_cost,float,Eur/MWh,0,,
profile,,,,-el-wind-onshore-profile,
output_parameters,dict,n/a,{},,
