attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,-el-curtailment,Name
type,str,n/a,excess,,Type
carrier,str,n/a,curtailment,,Energy carrier
tech,str,n/a,curtailment,,Technology
bus,str,n/a,,-el-bus,The bus this component is connected to
capacity,float,MW,n/a,,Installed capacity
marginal_cost,float,Eur/MWh,0,,Marginal cost
profile,str,n/a,1,,Name of the profile
output_parameters,dict,n/a,{},,Optional parameters passed to oemof-solph's output flow
