attribute,type,unit,default,suffix,description
region,str,n/a,n/a,,Country code
name,str,n/a,,,Name
type,str,n/a,link,,Type
from_bus,str,n/a,,-el-bus,
to_bus,str,n/a,,-el-bus,
capacity,float,MW,n/a,,Net transfer capacity
capacity_cost,float,Eur/MW,n/a,,Annualized costs of capacity expansion
loss,float,unitless,n/a,,Transmission losses
